Date;Price;;;;;;;;
23/10/2019;19.108;;;;;;;;
24/10/2019;19.127;;;;;;;;
25/10/2019;19.053;;;;;;;;
28/10/2019;19.119;;;;;;;;
29/10/2019;19.115;;;;;;;;
30/10/2019;19.0806;;;;;;;;
31/10/2019;19.228;;;;;;;;
1/11/2019;19.1042;;;;;;;;
4/11/2019;19.173;;;;;;;;
5/11/2019;19.2;;;;;;;;
6/11/2019;19.141;;;;;;;;
7/11/2019;19.132;;;;;;;;
8/11/2019;19.0971;;;;;;;;
11/11/2019;19.107;;;;;;;;
12/11/2019;19.3068;;;;;;;;
13/11/2019;19.3499;;;;;;;;
14/11/2019;19.3125;;;;;;;;
15/11/2019;19.1758;;;;;;;;
18/11/2019;19.3116;;;;;;;;
19/11/2019;19.336;;;;;;;;
20/11/2019;19.457;;;;;;;;
21/11/2019;19.3808;;;;;;;;
22/11/2019;19.3721;;;;;;;;
25/11/2019;19.4381;;;;;;;;
26/11/2019;19.5152;;;;;;;;
27/11/2019;19.5094;;;;;;;;
28/11/2019;19.4704;;;;;;;;
29/11/2019;19.562;;;;;;;;
2/12/2019;19.577;;;;;;;;
3/12/2019;19.548;;;;;;;;
4/12/2019;19.4255;;;;;;;;
5/12/2019;19.369;;;;;;;;
6/12/2019;19.301;;;;;;;;
9/12/2019;19.2285;;;;;;;;
10/12/2019;19.2534;;;;;;;;
11/12/2019;19.1145;;;;;;;;
12/12/2019;19.05;;;;;;;;
13/12/2019;19.0079;;;;;;;;
16/12/2019;18.9252;;;;;;;;
17/12/2019;18.926;;;;;;;;
18/12/2019;18.96;;;;;;;;
19/12/2019;18.913;;;;;;;;
20/12/2019;18.939;;;;;;;;
23/12/2019;18.952;;;;;;;;
24/12/2019;18.973;;;;;;;;
25/12/2019;18.969;;;;;;;;
26/12/2019;18.931;;;;;;;;
